,VehId,subtrajetoria,pares,grid_origem,grid_final,turno,Quantidade de Rotas Contadas,Quantidade de Rotas Contadas - Turno
0,145,145_subtraj_103,33665_38896,33665,38896,Early morning,4,2
1,145,145_subtraj_104,38896_31283,38896,31283,Early morning,2,1
2,145,145_subtraj_112,21628_38896,21628,38896,Evening,9,4
3,145,145_subtraj_118,31283_21628,31283,21628,Morning,3,2
4,145,145_subtraj_120,36472_21628,36472,21628,Afternoon,3,2
5,145,145_subtraj_127,38896_33665,38896,33665,Evening,2,1
6,145,145_subtraj_133,21628_38896,21628,38896,Afternoon,9,3
7,145,145_subtraj_134,20542_21629,20542,21629,Early morning,3,1
8,145,145_subtraj_14,21628_38896,21628,38896,Evening,9,4
9,145,145_subtraj_140,36442_38895,36442,38895,Afternoon,2,1
10,145,145_subtraj_15,21628_38896,21628,38896,Afternoon,9,3
11,145,145_subtraj_150,38896_33665,38896,33665,Afternoon,2,1
12,145,145_subtraj_155,29701_21628,29701,21628,Afternoon,3,1
13,145,145_subtraj_158,21628_36069,21628,36069,Afternoon,4,2
14,145,145_subtraj_16,36472_31283,36472,31283,Afternoon,2,1
15,145,145_subtraj_166,21628_29306,21628,29306,Evening,3,2
16,145,145_subtraj_187,20542_21629,20542,21629,Morning,3,2
17,145,145_subtraj_188,21628_38895,21628,38895,Morning,2,1
18,145,145_subtraj_195,29701_21628,29701,21628,Evening,3,2
19,145,145_subtraj_20,21628_36069,21628,36069,Morning,4,1
20,145,145_subtraj_22,21628_36069,21628,36069,Early morning,4,1
21,145,145_subtraj_27,38896_31283,38896,31283,Evening,2,1
22,145,145_subtraj_31,33665_38896,33665,38896,Early morning,4,2
23,145,145_subtraj_33,21628_36069,21628,36069,Afternoon,4,2
24,145,145_subtraj_41,36442_38895,36442,38895,Early morning,2,1
25,145,145_subtraj_49,21628_29306,21628,29306,Early morning,3,1
26,145,145_subtraj_5,21628_38896,21628,38896,Evening,9,4
27,145,145_subtraj_51,36472_31283,36472,31283,Evening,2,1
28,145,145_subtraj_52,20542_21629,20542,21629,Morning,3,2
29,145,145_subtraj_53,21628_38896,21628,38896,Morning,9,2
30,145,145_subtraj_60,21628_38896,21628,38896,Evening,9,4
31,145,145_subtraj_62,33665_38896,33665,38896,Evening,4,1
32,145,145_subtraj_65,21628_29306,21628,29306,Evening,3,2
33,145,145_subtraj_68,21628_38896,21628,38896,Afternoon,9,3
34,145,145_subtraj_74,21628_38896,21628,38896,Morning,9,2
35,145,145_subtraj_79,29701_21628,29701,21628,Evening,3,2
36,145,145_subtraj_8,36472_21628,36472,21628,Afternoon,3,2
37,145,145_subtraj_84,36472_31679,36472,31679,Early morning,2,1
38,145,145_subtraj_85,31283_21628,31283,21628,Morning,3,2
39,145,145_subtraj_88,36472_21628,36472,21628,Early morning,3,1
40,145,145_subtraj_92,33665_38896,33665,38896,Morning,4,1
41,145,145_subtraj_93,21628_38895,21628,38895,Early morning,2,1
42,145,145_subtraj_97,36472_31679,36472,31679,Afternoon,2,1
43,145,145_subtraj_98,31283_21628,31283,21628,Afternoon,3,1
44,155,155_subtraj_115,78354_64463,78354,64463,Morning,2,2
45,155,155_subtraj_116,77480_72807,77480,72807,Afternoon,4,2
46,155,155_subtraj_118,77905_70273,77905,70273,Evening,2,1
47,155,155_subtraj_120,77480_72384,77480,72384,Early morning,4,3
48,155,155_subtraj_126,77480_72807,77480,72807,Afternoon,4,2
49,155,155_subtraj_128,77480_72384,77480,72384,Morning,4,1
50,155,155_subtraj_131,78354_64463,78354,64463,Morning,2,2
51,155,155_subtraj_136,77905_70273,77905,70273,Afternoon,2,1
52,155,155_subtraj_152,77480_72807,77480,72807,Early morning,4,2
53,155,155_subtraj_156,75312_66449,75312,66449,Early morning,2,1
54,155,155_subtraj_165,77480_70273,77480,70273,Morning,5,2
55,155,155_subtraj_171,77480_72384,77480,72384,Early morning,4,3
56,155,155_subtraj_186,75312_66449,75312,66449,Evening,2,1
57,155,155_subtraj_192,75736_66449,75736,66449,Afternoon,3,1
58,155,155_subtraj_195,48208_78354,48208,78354,Early morning,2,1
59,155,155_subtraj_198,48208_78354,48208,78354,Afternoon,2,1
60,155,155_subtraj_206,75736_66449,75736,66449,Evening,3,2
61,155,155_subtraj_214,75736_66449,75736,66449,Evening,3,2
62,155,155_subtraj_217,77480_70273,77480,70273,Early morning,5,2
63,155,155_subtraj_24,77905_68590,77905,68590,Early morning,2,1
64,155,155_subtraj_35,77480_72384,77480,72384,Early morning,4,3
65,155,155_subtraj_4,78355_64463,78355,64463,Evening,4,1
66,155,155_subtraj_43,78355_64463,78355,64463,Afternoon,4,3
67,155,155_subtraj_56,77480_70273,77480,70273,Early morning,5,2
68,155,155_subtraj_58,78355_64463,78355,64463,Afternoon,4,3
69,155,155_subtraj_71,78355_64463,78355,64463,Afternoon,4,3
70,155,155_subtraj_74,77480_70273,77480,70273,Morning,5,2
71,155,155_subtraj_90,77905_68590,77905,68590,Afternoon,2,1
